4 10 -3 3 60
321 342 68 385 2.9732
353 27 205 527 1.8586
506 146 343 540 1.9631
379 20 166 447 2.0335
111 108 344 410 0.9137
526 377 543 595 1.4930
362 43 310 576 1.6680
89 338 367 350 0.0431
472 86 498 16 -1.2152
471 518 576 167 -1.2801
463 77 209 280 2.4673
49 581 323 539 -0.1521
205 428 34 131 -2.0932
317 341 90 54 -2.2400
385 436 272 195 -2.0092
590 17 159 473 2.3280
435 356 79 136 -2.5881
59 337 548 508 0.3364
28 490 211 392 -0.4917
403 320 272 312 -3.0806
64 312 396 273 -0.1169
437 329 522 480 1.0581
463 186 517 577 1.4336
296 129 335 451 1.4503
585 580 538 415 -1.8483
347 438 442 218 -1.1632
483 465 242 301 -2.5441
22 403 562 346 -0.1052
137 269 35 297 2.8737
67 398 148 287 -0.9404
543 595 567 178 -1.5133
488 467 129 511 3.0196
518 571 325 293 -2.1776
414 513 366 324 -1.8195
8 523 63 202 -1.4011
232 55 269 204 1.3274
438 579 310 53 -1.8095
524 355 586 225 -1.1258
0 142 529 279 0.2534
274 438 317 90 -1.4479
527 383 259 95 -2.3202
552 304 256 458 2.6619
136 578 327 255 -1.0368
251 154 222 579 1.6389
591 327 546 55 -1.7348
1 236 583 11 -0.3689
276 599 98 355 -2.2011
512 27 221 355 2.2965
218 333 318 487 0.9949
376 451 56 66 -2.2643
362 433 164 529 2.6901
297 375 373 178 -1.2026
29 197 8 123 -1.8473
456 342 168 508 2.6187
459 112 119 198 2.8938
89 319 256 267 -0.3019
283 554 180 287 -1.9390
95 508 59 358 -1.8063
99 431 307 505 0.3418
35 81 323 567 1.0358
